district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
青浦,赵巷镇,1383,0.09314595041644018,0.0927332539388984,0.22942879629758386,0.25302482998748005,0.20915650345709455,0.22005635237043505
青浦,重固镇,440,0.10108575117602753,0.14057166775826985,0.3861679340139206,0.4796918465852903,0.3598518402739678,0.2733722051356626
青浦,金泽镇,45,0.2224719725263537,0.14000756072213755,0.1767280996842397,0.18973723717337845,0.16933635197696983,0.1662619264917955
青浦,香花桥街道,249,0.07995891941624425,0.08378790841930832,0.220065688138411,0.298100315236223,0.15449567162994035,0.18700830789377051
静安,临汾路街道,228,0.098679731409411,0.15433559744361855,0.4345540167613519,0.5149731108157031,0.39900184499184527,0.3556565067516994
静安,共和新路街道,709,0.09140639213453092,0.15885491248338307,0.4627678217693321,0.5595440400197382,0.40964674930150363,0.3822953740236425
静安,北站街道,210,0.22928819567100434,0.26610859713429713,0.5511530018930606,0.5511673954438592,0.5345009158991184,0.5744428926033018
静安,南京西路街道,154,0.12876052311086614,0.16988569862492173,0.43505491897296444,0.41135295996212745,0.44190466578043514,0.46338840785984475
静安,大宁路街道,945,0.07772490488276361,0.13133123786928871,0.3962754207754408,0.4482406639125409,0.3707618221537496,0.34885006982644856
静安,天目西路街道,235,0.08651542953478977,0.1415028950212512,0.4167449262473214,0.42028333240765725,0.4204313729134325,0.40592245105822855
静安,宝山路街道,324,0.14616792763023462,0.19699571086722611,0.48763193458814924,0.6235094468520048,0.4110928854249964,0.3773825837943942
静安,彭浦新村街道,580,0.10480941209403677,0.14565009660618233,0.39578042309497596,0.4330995584248393,0.38454557618401564,0.35179859224253907
静安,彭浦镇,994,0.08884516208278145,0.13529035315073856,0.38958131347148195,0.4549905436590977,0.3577618780795815,0.32947375471995743
静安,曹家渡街道,554,0.1130532683734391,0.18711499303647827,0.5139040766240739,0.5956544260738347,0.48536260572140844,0.42306157676818823
静安,江宁路街道,538,0.12234281979068526,0.18756048046046364,0.4998688273954364,0.5603333341065151,0.4577705517709702,0.46206320253196353
静安,石门二路街道,179,0.09940390973469407,0.13068954659575688,0.35865827653279825,0.30676592870570574,0.3776812509679156,0.4150538688469821
静安,芷江西路街道,375,0.09056325837157503,0.1307627430978227,0.37297669819966156,0.34054549729223854,0.4077909426884577,0.37612667736722377
静安,静安寺街道,172,0.15840736274278266,0.24103936626215505,0.5934271518717685,0.7295636394646758,0.4800138090530111,0.5343874516693771
黄浦,五里桥街道,546,0.12243341829911317,0.171500748959284,0.4502092827354879,0.4925184915004699,0.44775714608636985,0.3859475400202821
黄浦,半淞园,832,0.14856672962448966,0.19301182610751255,0.4719091941339632,0.5720001250334292,0.41721613827217047,0.3883339829013273
黄浦,南京东路,325,0.2528996359247343,0.29049062212691845,0.5797719740848339,0.6805892930778159,0.4706329013409245,0.5712589655375361
黄浦,外滩,249,0.31299474601174565,0.33870422744840234,0.6126782598545937,0.7439529693965422,0.4932344159200082,0.5698601060958959
黄浦,小东门,299,0.18694960040215308,0.22307195981931507,0.4972127712184271,0.6254876478764901,0.4417882760847097,0.3695672617527305
